years_experience,education_level,project_count,resume_length,github_activity,shortlisted
12,Masters,13,717,469,Yes
8,Bachelors,10,595,418,Yes
3,Masters,8,303,195,Yes
14,PhD,14,770,435,Yes
5,Masters,10,277,255,Yes
4,Bachelors,6,401,91,No
8,High School,12,538,308,Yes
1,Masters,6,502,239,No
12,Masters,14,604,502,Yes
10,Bachelors,8,581,352,Yes
12,Bachelors,21,625,606,Yes
2,Bachelors,6,330,133,No
15,Masters,11,804,380,Yes
14,Masters,13,700,469,Yes
7,Masters,11,584,310,Yes
14,Bachelors,11,778,494,Yes
4,Bachelors,10,636,199,Yes
3,Bachelors,6,399,183,No
11,Masters,10,628,410,Yes
1,Bachelors,3,391,86,No
7,Masters,15,594,406,Yes
1,Masters,4,362,105,No
9,Bachelors,18,900,565,Yes
6,Masters,10,361,327,Yes
4,Bachelors,10,432,360,Yes
15,Bachelors,17,785,549,Yes
5,PhD,7,378,262,Yes
12,PhD,17,831,452,Yes
6,PhD,14,595,397,Yes
7,High School,9,680,314,Yes
14,Masters,13,632,463,Yes
4,High School,4,341,149,No
9,Masters,17,729,464,Yes
6,Masters,14,578,331,Yes
7,Masters,9,304,348,Yes
15,PhD,20,630,677,Yes
6,Bachelors,7,518,278,No
5,Bachelors,8,344,245,Yes
0,PhD,10,399,217,No
13,Masters,11,709,289,Yes
11,PhD,13,768,339,Yes
15,High School,14,900,580,Yes
0,Masters,4,205,195,No
5,Bachelors,14,604,415,Yes
9,Masters,10,622,278,Yes
13,Bachelors,19,606,531,Yes
14,Bachelors,10,900,306,Yes
5,Bachelors,10,524,241,Yes
4,Bachelors,13,434,174,Yes
10,Masters,14,552,420,Yes
8,PhD,16,551,578,Yes
14,Masters,11,835,447,Yes
8,Masters,9,691,363,Yes
13,Bachelors,13,832,387,Yes
0,Bachelors,2,369,30,No
10,Masters,15,554,459,Yes
4,PhD,10,499,226,Yes
2,Masters,14,554,370,Yes
9,Bachelors,10,607,332,Yes
9,Masters,10,657,493,Yes
12,Masters,17,633,613,Yes
8,Bachelors,11,682,428,Yes
2,High School,6,260,59,No
11,Bachelors,9,796,339,Yes
2,Bachelors,8,423,164,No
14,PhD,19,803,702,Yes
15,Masters,16,699,559,Yes
